OBJECTID_1,OBJECTID,CALC_ACRE,TAX_MAP,PARCEL_NUM,OWNER1_1,OWNER1_2,MAIL_ST_NU,MAIL_ST_NA,MAIL_EXTRA,MAIL_CITY,MAIL_ST,ZIP_5,ZIP_4,CARE_OF,PROP_ADDRE,STREET_NUM,STREET_NAM,DEED_BOOK_,DEED_PAGE_,DEED_DATE_,NBHD,ZONING,APPRAISED_,Use_,Dev_Area,Maint_By,Maint_Phas,Map_Class,LASTUPDATE,LASTEDITOR,NOTES,DEVEL_AREA,LOCATION,MAP_INDEX,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
20430,4860.0,0.20755137,04 09 32 1 019 008.000,0409321019008000,CITY OF MONTGOMERY, , , , ,MONTGOMERY,AL,36104,0000, ,HOUSER ST, ,HOUSER ST,374,363,-618624000000,CHISHOLM,R-65-d,5000.0,AVAILABLE,,VACANT LOT CREW,0,Surplus,,,LISTED FOR SALE ON CITY WEBSITE,,"S side, across from Pickens St",M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,9040.937752709853,462.7109090149439
20431,47.0,235.75760845,03 07 26 0 000 002.000,0307260000002000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,ALABAMA RIVER, ,ALABAMA RIVER,1248,900,706320000000,CLISBY PARK,M-3,559000.0,USE,,LANDFILL,0, ,,,LANDFILL,,NW section of Landfill,"M-2-S, M-2-T, M-2-Y, M-2-Z",ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,10269601.424290884,14522.371229565904
20432,3773.0,28.36829824,04 09 29 4 005 002.000,0409294005002000,MONTGOMERY COUNTY BOARD OF EDUCATION, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,NORTH BLVD, ,NORTH BLVD, , ,,CHISHOLM,INST,260000.0,USE,,ZOO,0, ,,,ZOO,,,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,1235723.0712064176,5083.058531346648
20433,3775.0,3.22883807,04 09 29 4 005 004.000,0409294005004000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,545 VANDIVER BLVD,545,VANDIVER BLVD,470,385,314668800000,CHISHOLM,INST,82500.0,USE,,PARKS & REC,0, ,,,CHISHOLM COMMUNITY CENTER,,,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,140648.18615399385,1700.2166069946504
20434,83.0,1.20505679,03 07 36 3 003 005.001,0307363003005001,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,1515 PARALLEL ST,1515,PARALLEL ST, , ,,CLISBY PARK,M-3,52600.0,USE,,LANDFILL,0, ,,,LANDFILL / EQUIPMENT STORAGE,,,M-2-Z,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,52492.27363205003,1085.510031182782
20435,77.0,8.51113272,03 07 36 3 002 002.000,0307363002002000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,115 DIVISION ST,115,DIVISION ST,766,98,504144000000,CLISBY PARK,M-3,82500.0,USE,,LANDFILL/PARKS & REC,0, ,,,LANDFILL,,,M-2-Z,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,370744.9411962004,3762.5227445503688
20436,1726.0,0.12982262,04 07 35 3 003 005.001,0407353003005001,CITY OF MONTGOMERY, , , ,PO BOX 1111,MONTGOMERY,AL,36101,0000, ,GUNTER PARK DR W, ,GUNTER PARK DR W, , ,,GUNTER AFB,M-1,10300.0,USE,,WATER WORKS,0,,,,WATER WORKS,,NE corner of lot at 2727 W Gunter Park Dr,M-2-DD,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,5655.073178657408,300.98025433908794
20437,4439.0,0.46611682,04 09 31 3 002 014.000,0409313002014000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,JACKSON FERRY RD, ,JACKSON FERRY RD, , ,,CLISBY PARK,R-65-d,900.0,USE,,PARKS & REC,0, ,,,JACKSON FERRY ROAD PARK,,W end of Jackson Ferry Rd Park,M-2-AA,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,20304.048749222315,578.1565560444467
20438,4422.0,0.16863437,04 09 31 3 001 024.000,0409313001024000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,JACKSON FERRY RD, ,JACKSON FERRY RD, , ,,CLISBY PARK,R-65-d,1500.0,USE,,MAINTENANCE,0, ,,,DRAINAGE EASEMENT,,across Jackson Ferry Rd from Jackson Ferry Rd Park,M-2-AA,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,7345.712988568942,541.9937661460821
20439,10924.0,41.62571833,09 01 11 3 000 063.000,0901113000063000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,WILTSHIRE DR, ,WILTSHIRE DR,1559,424,797558400000,TOWNE LAKE,O-2,390000.0,USE,,VACANT LOT CREW,0, ,,,DONATED FOR PARK; USACE REQUIRES WETLAND,,Pond/woods NE of Wiltshire Dr in Towne Lake,M-7-J,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,1813216.2906615988,6449.934872688654
20440,13776.0,0.39814519,09 03 06 3 003 001.000,0903063003001000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,577 DUNBARTON RD,577,DUNBARTON RD,1099,79,642384000000,MONTGOMERY EAST,R-75-s,20000.0,AVAILABLE,,MAINTENANCE,0, ,,,STORM DRAINAGE; CAN REPLAT TO SELL EXCESS,,SW Corner of Dunbarton & Wares Ferry,M-7-A,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,17343.204329751126,559.3066292422201
