X,Y,OBJECTID,PaccNumber,custCOMPANY_NAME,custDBA,pvNUMBER,custID,pvYEAR,pvEFFDATE,pvEXPIRE,contCREATED,contCALCDATE,contPOSTDATE,paccCOMPANY,addrNUMBER_MAIL,addrSTREET1_MAIL,addrSTREET2_MAIL,addrCITY_MAIL,stABBR_MAIL,addrZIP_MAIL,Full_Address,addrNUMBER_PHYSICAL,addrSTREET1_PHYSICAL,addrSTREET2_PHYSICAL,addrZIP_PHYSICAL,scID,scCODE,scNAME,pvscDESC,nbiCODE,pvrtCODE,pvrtDESC,CITY,addrCITY_PHYSICAL,stABBR_PHYSICAL,Id,postYear,GlobalID,created_user,created_date,last_edited_user,last_edited_date
,,11,1730086-BUS,ACE ELECTRIC,ACE ELECTRIC,202400001303,26590,2024,2024/01/01,2024/12/31,2024/01/22,2024/01/19,2024/01/26,ACE ELECTRIC,,P O BOX 241322,,MONTGOMERY,AL,36124,244 MENDEL PKWY W,244,MENDEL PKWY W,,361175405,787,0,,ME# 03851 BILLY R JORDAN EXP DATE 06/30/2024,,,Renew,YES,MONTGOMERY,AL,,2024,{79918881-D958-4C59-A0BE-1E1B1B2908E0},,,,
,,12,1730086-BUS,ACE ELECTRIC,ACE ELECTRIC,202400001303,26590,2024,2024/01/01,2024/12/31,2024/01/22,2024/01/19,2024/01/26,ACE ELECTRIC,,P O BOX 241322,,MONTGOMERY,AL,36124,244 MENDEL PKWY W,244,MENDEL PKWY W,,361175405,538,238310,CONTRACTORSSPECIALTY TRADEELECTRICAL CONTRACTORS,CONTRACTOR - ELEC,,,Renew,YES,MONTGOMERY,AL,,2024,{C3ACA8ED-43D1-484B-BF29-D42A6676C060},,,,
532897.635052163,660949.192605823,13,1790044-BUS,ACE GLASS INC,ACE GLASS INC,202100004090,1649,2021,2021/01/01,2021/12/31,2021/02/08,2021/01/31,2021/02/07,ACE GLASS INC,5036,BUSINESS PARK DR,,MONTGOMERY,AL,36116,5036 BUSINESS PARK DR,5036,BUSINESS PARK DR,,36116,589,444130,"BUILDING MATERIALSHARDWARE, PAINT, HOME CENTER, WALLPAPER, NURSERY",GLASS RETAIL,,,Renew,YES,MONTGOMERY,AL,6,2021,{FEC8D42C-0AE2-41CD-ACA8-3E9DB4E99009},,,,
532897.635052163,660949.192605823,14,1790044-BUS,ACE GLASS INC,ACE GLASS INC,202200005509,1649,2022,2022/01/01,2022/12/31,2022/02/10,2022/02/07,2022/02/07,ACE GLASS INC,5036,BUSINESS PARK DR,,MONTGOMERY,AL,36116,5036 BUSINESS PARK DR,5036,BUSINESS PARK DR,,36116,540,238920,CONTRACTORSSPECIALTY TRADEGLASS AND GLAZING CONTRACTORS,GLASS INSTALLATION CONTRACTOR,,,Renew,YES,MONTGOMERY,AL,6,2022,{DC64FF88-2B7C-4ECB-955A-72AFAE98042B},,,,
532897.635052163,660949.192605823,15,1790044-BUS,ACE GLASS INC,ACE GLASS INC,202300004139,1649,2023,2023/01/01,2023/12/31,2023/02/01,2023/02/01,2023/02/01,ACE GLASS INC,5036,BUSINESS PARK DR,,MONTGOMERY,AL,36116,5036 BUSINESS PARK DR,5036,BUSINESS PARK DR,,36116,589,444130,"BUILDING MATERIALSHARDWARE, PAINT, HOME CENTER, WALLPAPER, NURSERY",GLASS RETAIL,,,Renew,YES,MONTGOMERY,AL,6,2023,{2A917E73-B923-45C0-874C-ADD50D900F5F},,,,
532897.635052163,660949.192605823,16,1790044-BUS,ACE GLASS INC,ACE GLASS INC,202300004139,1649,2023,2023/01/01,2023/12/31,2023/02/01,2023/02/01,2023/02/01,ACE GLASS INC,5036,BUSINESS PARK DR,,MONTGOMERY,AL,36116,5036 BUSINESS PARK DR,5036,BUSINESS PARK DR,,36116,540,238920,CONTRACTORSSPECIALTY TRADEGLASS AND GLAZING CONTRACTORS,GLASS INSTALLATION CONTRACTOR,,,Renew,YES,MONTGOMERY,AL,6,2023,{61B0DFC4-993F-4171-8DA3-1138A50BEB81},,,,
532897.635052163,660949.192605823,17,1790044-BUS,ACE GLASS INC,ACE GLASS INC,202400004092,1649,2024,2024/01/01,2024/12/31,2024/02/06,2024/01/31,2024/01/31,ACE GLASS INC,5036,BUSINESS PARK DR,,MONTGOMERY,AL,36116,5036 BUSINESS PARK DR,5036,BUSINESS PARK DR,,36116,589,444130,"BUILDING MATERIALSHARDWARE, PAINT, HOME CENTER, WALLPAPER, NURSERY",GLASS RETAIL,,,Renew,YES,MONTGOMERY,AL,6,2024,{44099F1F-FAB7-4390-9B42-8DF0A6FB968B},,,,
,,18,9344575-BUS,ACE INDUSTRIES INC,ACE INDUSTRIES INC,202100009439,5310,2021,2021/01/01,2021/12/31,2021/02/13,2021/01/26,2021/01/26,ACE INDUSTRIES INC,6295,MCDONOUGH DR,,NORCROSS,GA,30093,6295 MCDONOUGH DR,6295,MCDONOUGH DR,,30093,749,811310,REPAIRS AND MAINTENANCECOMMERCIAL EQUIPMENT,REPAIR SERVICE,,,Renew,NO,NORCROSS,GA,,2021,{DE6BF6DC-879F-4B3A-BAED-94E194FA5768},,,,
,,19,043588-BUS,ACE MINI SELF STORAGE LLC,ACE MINI SELF STORAGE LLC,202300014606,46883,2023,2023/01/01,2023/12/31,2023/08/17,2023/07/28,2023/08/30,ACE MINI SELF STORAGE LLC,30,N GOULD ST,SUITE 6174,SHERIDAN,WY,828016317,3620 DAY ST,3620,DAY ST,,361082114,661,531100,RENTAL AND LEASINGREAL PROPERTY RENTAL,RENTAL AND LEASING - SELF STORAGE UNITS,,,New,YES,MONTGOMERY,AL,,2023,{6A5A4F2F-8643-46C6-BDFB-10F8BF87FE93},,,,
560190.766817495,676932.382424153,21,9343405-BUS,A L M INCOME TAX SERVICE,A L M INCOME TAX SERVICE,202200000582,15175,2022,2022/01/01,2022/12/31,2022/01/04,2022/01/03,2022/01/03,A L M INCOME TAX SERVICE,7454,WIMBERLY LN,,MONTGOMERY,AL,36117,7454 WIMBERLY LN,7454,WIMBERLY LN,,36117,787,0,,ALL BUSINESS TO BE CONDUCTED IN,,,Renew,YES,MONTGOMERY,AL,9,2022,{E067FA4F-992A-4776-A3E7-54301CFD748F},,,,
560190.766817495,676932.382424153,22,9343405-BUS,A L M INCOME TAX SERVICE,A L M INCOME TAX SERVICE,202300001759,15175,2023,2023/01/01,2023/12/31,2023/01/13,2023/01/10,2023/01/10,A L M INCOME TAX SERVICE,7454,WIMBERLY LN,,MONTGOMERY,AL,36117,7454 WIMBERLY LN,7454,WIMBERLY LN,,36117,787,0,,ALL BUSINESS TO BE CONDUCTED IN,,,Renew,YES,MONTGOMERY,AL,9,2023,{A501980F-F839-4304-9AFB-B826B3542D96},,,,
560190.766817495,676932.382424153,23,9343405-BUS,A L M INCOME TAX SERVICE,A L M INCOME TAX SERVICE,202400000530,15175,2024,2024/01/01,2024/12/31,2024/01/09,2024/01/09,2024/01/12,A L M INCOME TAX SERVICE,7454,WIMBERLY LN,,MONTGOMERY,AL,36117,7454 WIMBERLY LN,7454,WIMBERLY LN,,36117,669,541210,ACCOUNTING/TAX PREPARATION/BOOKKEEPING/PAYROLL SERVICES,TAX PREPARATION SERVICE,,,Renew,YES,MONTGOMERY,AL,9,2024,{5CDBB91F-0BD7-47B1-B8CE-6C372F1BF608},,,,
