FID,PM_ZONE_NU,Street,From_,To_,Side,Spaces,Collection,Enforced,Duration,Increments,Rate_Days,Start_Time,End_Time,Hour_Rate,Latitude,Longitude,OID_,Zone,Cnt_Zone,Sum_Paymen,Shape__Area,Shape__Length
35,36037,Adams,Court,Perry,North,27,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3751166700662,-86.3081567706738,33,36037,18,24.3,17896.3348388672,1057.9272626509
36,36038,Adams,Perry,Hull,South,16,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3751218389084,-86.3054934255836,34,36038,14,18.9,38113.7326049805,2372.95538495418
37,36039,Adams,Perry,Hull,North,27,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3752100079184,-86.3055946183148,35,36039,17,22.95,38184.8237304688,2355.05110356863
38,36041,Scott,Hull,Court,South,14,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3735924262659,-86.3061388181139,37,36041,5,6.75,38179.9898071289,3323.89235096627
39,36040,Alabama,Hull,McDonough,South,6,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3740975067068,-86.3041691697413,36,36040,1,1.35,7525.44622802734,785.779052851688
40,36042,Scott,Hull,Court,North,9,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3736614192499,-86.3061322057457,38,36042,7,9.45,43612.3262634277,3328.42900021235
41,36043,Hull,Washington,Jefferson,West,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775918470271,-86.3037944265893,39,36043,9,12.15,55147.7257995605,3479.1421690207
42,36044,McDonough,Washington,Monroe,East,11,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775624363036,-86.3049217361559,40,36044,10,13.5,27200.3853759766,1807.09399220909
43,36045,McDonough,Washington,Monroe,West,22,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775337825688,-86.3050291511749,41,36045,43,58.05,31460.988861084,1814.00340995674
44,36046,McDonough,Monroe,Columbus,East,27,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3805461651376,-86.3050675317043,42,36046,7,9.45,45801.6259155273,2510.86600744023
45,36047,McDonough,Monroe,Columbus,West,27,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3804710564268,-86.3051871531202,0,0,0,0,46049.241394043,2508.8375837576
46,36048,Lawrence,Washington,Jefferson,East,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3774706823172,-86.3061572447312,43,36048,20,27,33524.048248291,1827.78677707179
47,36049,Lawrence,Washington,Jefferson,West,17,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.377504138977,-86.3062788614317,44,36049,28,37.8,60776.0756530762,3497.85229664846
48,36050,Perry,Washington,Dexter,East,8,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3768490390343,-86.3073564680217,45,36050,15,20.25,19621.3074645996,949.984897594254
49,36051,Perry,Washinton,Monroe,West,19,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3774869031442,-86.3075266147653,46,36051,52,70.2,32817.2506103516,1812.2911325607
50,36052,Perry,Monroe,Jefferson,East,23,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3798254390985,-86.3075212808694,47,36052,6,8.1,32067.3385009766,1755.91956784941
51,36053,Perry,Monroe,Jefferson,West,10,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3797950775904,-86.3076437129933,48,36053,6,8.1,31976.5136108398,1755.73888738555
52,36054,Court,Dexter,Washington,East,9,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3765483821851,-86.3089193299079,49,36054,14,18.9,11591.9512939453,824.192150859467
53,36055,Coosa,Monroe,Bibb,East,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3792150369809,-86.3091476845314,50,36055,36,48.6,22261.726348877,1016.98277508987
54,36056,Washington,Hull,Lawrence,North,17,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3763919053607,-86.3049586035632,51,36056,29,39.15,29735.6091308594,1607.06993388648
55,36057,Washington,Lawrence,Court,North,10,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.37630215242,-86.3075445000753,52,36057,28,37.8,33386.3742675781,1766.34433468559
56,36058,Dexter,Hull,Lawrence,North,29,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3776071655116,-86.305027203342,53,36058,10,13.5,39484.0334472656,1638.41920898456
57,36059,Dexter,Hull,LAWRENCE,South,23,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.377468835702,-86.3049884721397,54,36059,8,10.8,38160.1657409668,1633.16606787313
58,36060,Dexter,Lawrence,Perry,North,23,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775368287291,-86.3068391396391,55,36060,35,47.25,21379.9116516113,879.713920301375
59,36061,Dexter,Lawrence,Perry,South,19,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3773879164179,-86.3068445427848,56,36061,30,40.5,20122.9379882812,872.914667851309
60,36062,Dexter,Perry,Court,South,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3773296485944,-86.3082311852066,57,36062,85,114.75,25471.2766723633,1103.28027215521
61,36063,Dexter,Perry,Market,North,30,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3774956173815,-86.3085111186811,58,36063,188,253.8,35300.3154907227,1347.09721623468
62,36064,Monroe,Hull,Coosa,North,12,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3788133803834,-86.3050417504752,59,36064,14,18.9,64623.0230407715,3086.06885076741
63,36065,Monroe,Hull,Coosa,South,23,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3786338526145,-86.3064033198112,60,36065,79,106.65,82938.2757873535,3846.88671666039
64,36066,Madison,Hull,Court,N & S,7,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3798525609428,-86.3063764451638,61,36066,17,22.95,138163.123687744,3362.33894799162
65,36067,Jefferson,Hull,Court,N & S,22,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3810065420627,-86.306608300962,62,36067,24,32.4,120522.815856934,3311.58239742033
66,36068,Coosa,Monroe,Bibb,West,17,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3791211334347,-86.309243805229,63,36068,96,129.6,22025.420135498,1056.67812905586
67,36069,Coosa,Bibb,Railroad*,West,27,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3808276487447,-86.3108499945174,64,36069,155,209.25,49435.567779541,2422.9400565544
68,36070,Commerce,Montgomery,Bibb,East,30,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3783718660515,-86.3100502680234,65,36070,52,70.2,30644.6637878418,1266.39910554916
69,36071,Commerce,Bibb,Tallapoosa,East,15,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3796166522311,-86.3112367128813,66,36071,90,121.5,30617.8347473145,1315.70080929783
70,36072,Commerce,Tallapoosa,Railroad*,East,16,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3808445313568,-86.3123901889651,67,36072,48,64.8,27824.4564208984,1142.38549021544
71,36073,Commerce,Tallapoosa,Railroad*,West,12,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3807682919262,-86.3125305007527,68,36073,44,59.4,27246.570098877,1141.62359126333
72,36074,Commerce,Bibb,Tallapoosa,West,24,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3795358112101,-86.311365585047,69,36074,117,157.95,31628.460723877,1320.15791946031
73,36075,Commerce,Montgomery,Bibb,West,21,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3782572727431,-86.3101589534348,70,36075,54,72.9,31775.8072814941,1315.70122506628
74,36077,Molton,Bibb,Tallapoosa,E & W,11,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3781585286212,-86.3133648638112,71,36077,21,28.35,52179.860168457,1368.91734848996
75,36078,Tallapoosa,Molton,Commerce,North,36,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3795373676897,-86.3130758817815,72,36078,71,95.85,35694.3173217773,1654.94497115711
76,36079,Tallapoosa,Commerce,Coosa,North,16,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3806417747328,-86.3114486981065,73,36079,59,79.65,12717.9218139648,732.706661811917
77,36080,Tallapoosa,Coosa,Court,N & S,28,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3814892683603,-86.3100990153928,74,36080,37,49.95,51681.6966552734,1436.58519755218
78,36081,Tallapoosa,Commerce,Coosa,South,15,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3805644070975,-86.3113543974744,75,36081,45,60.75,13698.3242492676,741.610150514141
79,36082,Tallapoosa,Molton,Commerce,South,17,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3794804998249,-86.3129217144113,76,36082,51,68.85,34077.9162597656,1562.57899152074
80,36084,Bibb,Molton,Commerce,North,8,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3782149415229,-86.3118640101917,78,36084,4,5.4,30793.9865112305,1608.04319922371
81,36083,Court,Jefferson,Madison,WEST,3,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3802643127626,-86.3090729289531,77,36083,12,16.2,9370.72250366211,819.550127615204
82,36088,Catoma,Clayton,Bibb,East,34,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3762568413851,-86.3131414608684,81,36088,6,8.1,66557.1924743652,3128.37971382064
83,36090,Church,Court,Wilkenson,North,46,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.374802262604,-86.3106515845589,83,36090,28,37.8,52839.6185302734,2785.32323453939
84,36091,Church,Court,Wilkenson,South,3,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3745656023113,-86.3107854928979,0,0,0,0,58084.4588317871,2744.31253880463
85,36092,Montgomery,Commerce,Molton,North,24,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3769857748322,-86.3105443346112,84,36092,50,67.5,34796.9957275391,1731.26419431752
86,36094,Montgomery,Molton,Catoma,South,15,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.375839713315,-86.3120187855031,86,36094,22,29.7,15702.4519042969,881.80288234548
87,36093,Montgomery,Molton,Catoma,North,13,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3759340187329,-86.3120853097039,85,36093,1,1.35,15812.3086853027,881.28462811822
88,36089,Catoma,Clayton,Bibb,West,19,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3745684170419,-86.3117317404281,82,36089,2,2.7,64702.6959533691,3051.87174111405
89,36095,Montgomery,Commerce,Molton,South,25,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3769139841586,-86.3104324743001,87,36095,37,49.95,34236.8099975586,1731.80677867715
90,36086,Lee,Church,Bibb,East,26,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775929847596,-86.3110556318344,79,36086,28,37.8,49231.4929504395,2407.71021622254
91,36087,Lee,Church,Bibb,West,30,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3762729974715,-86.3099855326601,80,36087,7,9.45,46992.6392822266,2411.92417174952
92,36022,Adams,Hull,Hilliard,North,37,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3753788424922,-86.3015530231654,21,36022,84,113.4,37896.5269775391,2552.04988817963
93,36048,Lawrence,Washington,Jefferson,East,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3798629074636,-86.3062840371018,43,36048,20,27,29470.1355895996,1745.45497270956
94,36096,Jefferson,Coosa,Court,N & S,35,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3809129866943,-86.309866827662,88,36096,149,201.15,41972.3487548828,1206.10969476557
