FID,OBJECTID,Beat_Num,Shape_Leng,Revenue,Shape__Area,Shape__Length
1,1,1,12069.2522977,3808,8860703.39944458,12069.2522976971
2,2,3,8004.91754217,367.2,2896005.91604614,8004.91742214482
3,3,2,6471.95748901,1553.85,2651712.93908691,6471.95755985488
4,4,4,8780.07642747,2141.1,2184609.97711182,8780.07639076795
5,5,5,6266.44456915,260.55,1741782.42810059,6266.44460600821
